序号,源名称,源类型,RSS链接,可抓取RSS链接,官网链接,Folo文件夹路径,Folo订阅源名称,主分类,标签,是否已加入Folo,是否建议保留,订阅优先级,来源权威度,更新频率,最近更新时间,长期价值评分,是否失效,失效原因,错误类型,Folo源ID,Folo订阅ID,Folo视图,加入时间,最后检查时间,备注
1,HelloGithub - 精选开源项目,Folo feed,rsshub://hellogithub/home,https://rsshub.app/hellogithub/home,https://hellogithub.com/?sort_by=featured,AI科技开源,HelloGithub - 精选开源项目,AI工具,AI科技、开源、工具,是,是,高,78,待观察,,78,否,,,66526115085137920,66526115085137920,0,2025-11-13T02:14:02.538Z,2026-06-07 03:38:03,HelloGithub - 精选开源项目 - Powered by RSSHub
2,OpenAI News,Folo feed,https://openai.com/news/rss.xml,https://openai.com/news/rss.xml,https://openai.com/news,AI科技开源,OpenAI News,AI工具,AI科技、开源、工具,是,是,高,78,待观察,,78,否,,,106709235749293065,106709235749293065,0,2025-11-13T02:14:18.387Z,2026-06-07 03:38:03,The OpenAI blog
3,数据库内核月报,Folo feed,rsshub://aliyun/database_month,https://rsshub.app/aliyun/database_month,http://mysql.taobao.org/monthly/,AI科技开源,数据库内核月报,AI工具,AI科技、开源、工具,是,是,高,78,待观察,,78,否,,,41464776326468621,41464776326468621,0,2025-11-13T19:45:11.994Z,2026-06-07 03:38:03,数据库内核月报 - Powered by RSSHub
4,开源中国-全部,Folo feed,rsshub://oschina/news,https://rsshub.app/oschina/news,https://www.oschina.net/?type=0,AI科技开源,开源中国-全部,AI工具,AI科技、开源、工具,是,是,高,78,待观察,,78,否,,,56178044197240832,56178044197240832,0,2025-11-14T13:16:25.648Z,2026-06-07 03:38:03,开源中国-全部 - Powered by RSSHub
5,技术爬爬虾 的 bilibili 空间,Folo feed,rsshub://bilibili/user/video/316183842,https://rsshub.app/bilibili/user/video/316183842,https://space.bilibili.com/316183842,AI科技开源,技术爬爬虾 的 bilibili 空间,AI工具,AI科技、开源、工具,是,是,待修复,78,待观察,,78,是,2026-06-07 源治理：公共 RSSHub/替代源不可稳定抓取，暂不参与自动抓取。,rsshub_or_upstream_blocked,58463916731079680,58463916731079680,3,2025-01-06T10:28:44.912Z,2026-06-07 03:38:03,技术爬爬虾 的 bilibili 空间 - Powered by RSSHub | 2026-06-07 自动抓取失败，已降级待替换。
6,OpenAI News RSS（替代 Twitter @OpenAI）,Official RSS,https://openai.com/news/rss.xml,https://openai.com/news/rss.xml,https://openai.com/news/,AI科技开源,OpenAI News RSS,AI工具,AI科技、开源、工具,待确认,是,高,78,待观察,,78,否,,,41469968534837248,41469968534837248,1,2025-11-13T12:45:00.108Z,2026-06-07 03:38:03,2026-06-07 源治理：Twitter RSSHub 404，替换为 OpenAI 官方 RSS。
7,逛逛GitHub,Folo feed,https://wechat2rss.bestblogs.dev/feed/38be32e5376d852c13d3383e4d7a757fd9a55ff6.xml,https://wechat2rss.bestblogs.dev/feed/38be32e5376d852c13d3383e4d7a757fd9a55ff6.xml,https://wechat2rss.bestblogs.dev/feed/38be32e5376d852c13d3383e4d7a757fd9a55ff6.xml,AI科技开源,逛逛GitHub,AI工具,AI科技、开源、工具,是,是,高,78,待观察,,78,否,,,187702008979989514,187702008979989514,0,2026-06-01T22:06:56.887Z,2026-06-07 03:38:03,"热门「开源项目」推送到你眼前，每日为你节省 1 小时。 给我发消息可咨询各种开源项目，专注 AI、硬科技开源领域。
(wechat feed made by @ttttmr https://wechat2rss.xlab.app)"
8,少数派 - 派早报,Folo feed,https://feeds.feedburner.com/sspai/paizaobao,https://feeds.feedburner.com/sspai/paizaobao,https://sspai.com/tag/%E6%B4%BE%E6%97%A9%E6%8A%A5,AI科技开源,少数派 - 派早报,AI工具,AI科技、开源、工具,是,是,中,65,待观察,,73,否,,,73553160421921792,73553160421921792,0,2025-11-13T01:08:17.331Z,2026-06-07 03:38:03,少数派 - 派早报
9,小众软件,Folo feed,http://feeds-origin.appinn.com/appinns,http://feeds-origin.appinn.com/appinns,https://www.appinn.com/,AI科技开源,小众软件,AI工具,AI科技、开源、工具,是,是,中,65,待观察,,73,否,,,41719081557593134,41719081557593134,0,2025-11-14T13:17:05.289Z,2026-06-07 03:38:03,分享免费、小巧、实用、有趣、绿色的软件
10,ByteByteGo Newsletter,Folo feed,https://blog.bytebytego.com/feed,https://blog.bytebytego.com/feed,https://blog.bytebytego.com/,AI科技开源,ByteByteGo Newsletter,AI工具,AI科技、开源、工具,是,是,中,65,待观察,,73,否,,,96749662689908742,96749662689908742,0,2025-03-10T09:38:01.053Z,2026-06-07 03:38:03,"Explain complex systems with simple terms, from the authors of the best-selling system design book series. Join over 1,000,000 friendly readers."
11,阮一峰的网络日志,Folo feed,http://www.ruanyifeng.com/blog/atom.xml,http://www.ruanyifeng.com/blog/atom.xml,http://www.ruanyifeng.com/blog/,AI科技开源,阮一峰的网络日志,AI工具,AI科技、开源、工具,是,是,中,65,待观察,,73,否,,,41215011978385465,41215011978385465,0,2025-11-13T01:16:03.881Z,2026-06-07 03:38:03,Ruan YiFeng's Blog
12,APP喵：资源,Folo feed,https://www.appmiu.com/feed,https://www.appmiu.com/feed,https://www.appmiu.com/,AI科技开源,APP喵：资源,AI工具,AI科技、开源、工具,是,是,中,65,待观察,,73,否,,,54807548014042115,54807548014042115,0,2025-11-14T13:16:53.376Z,2026-06-07 03:38:03,阿喵软件分享，发现互联网有趣好用的软件资源
13,The Angry Explainer - YouTube,Folo feed,rsshub://youtube/user/@theangryexplainer,https://rsshub.app/youtube/user/@theangryexplainer,https://www.youtube.com/@theangryexplainer,学习教育,The Angry Explainer - YouTube,技术学习,学习、教育、知识,是,观察,待修复,78,待观察,,72,是,已订阅 YouTube 官方 feed；InfoRadar 抓取跳过旧 RSSHub YouTube 源，避免 rsshub.app 403。,已由官方Feed替代,103084868550368256,103084868550368256,3,2025-01-18T01:20:37.491Z,2026-06-07 03:38:03,"Hey, you idiot! My name is The Angry Explainer, and I teach study tips, study techniques, productivity tips, and exam strategies that actually work. I created a step-by-step system that teaches students how to actually learn faster and remember everything, so they can stop wasting their lives studying the wrong way and finally get results. I was a two-time college dropout who thought grinding harder was the answer. It wasn't. Then I figured out how studying actually works and secured one of only 12 spots at Latin America's #1 university in just one year, beating thousands of students with expensive tutors and prep courses. Now I help students worldwide study less, learn faster, get better grades, and stop procrastinating for good. 👉 Watch my FREE masterclass: ""How Average Students Turn 80% Less Study Time into Straight A's"" (link below) And stop being an IDIOT! - Powered by RSSHub"
14,JimmyLv_吕立青 - YouTube,Folo feed,rsshub://youtube/user/@jimmy_jinglv,https://rsshub.app/youtube/user/@jimmy_jinglv,https://www.youtube.com/@jimmy_jinglv,AI科技开源,JimmyLv_吕立青 - YouTube,技术学习,学习、教育、知识,是,观察,待修复,78,待观察,,72,是,已订阅 YouTube 官方 feed；InfoRadar 抓取跳过旧 RSSHub YouTube 源，避免 rsshub.app 403。,已由官方Feed替代,106341406693269504,106341406693269504,3,2025-01-26T14:07:40.730Z,2026-06-07 03:38:03,BibiGPT.co AI 创业者「在学习的同时帮助他人学习」丨效率成瘾·爱好创造丨想做产品，却误入程序世界爱上写作的摄影师。 - Powered by RSSHub
15,NASA Astronomy Picture of the Day,Folo feed,rsshub://nasa/apod,https://rsshub.app/nasa/apod,https://apod.nasa.gov/apod/archivepix.html,生活知识,NASA Astronomy Picture of the Day,技术学习,学习、教育、知识,是,是,中,78,待观察,,72,否,,,41356263889737728,41356263889737728,2,2025-11-14T13:14:32.190Z,2026-06-07 03:38:03,NASA Astronomy Picture of the Day - Powered by RSSHub
16,英语兔 - YouTube,Folo feed,rsshub://youtube/user/%40yingyutu,https://rsshub.app/youtube/user/%40yingyutu,https://www.youtube.com/@yingyutu,学习教育,英语兔 - YouTube,技术学习,学习、教育、知识,是,观察,待修复,78,待观察,,72,是,已订阅 YouTube 官方 feed；InfoRadar 抓取跳过旧 RSSHub YouTube 源，避免 rsshub.app 403。,已由官方Feed替代,54819694957066240,54819694957066240,3,2026-06-01T22:04:14.960Z,2026-06-07 03:38:03,www.YingYuTu.com - Powered by RSSHub
