源名称,源状态,RSS链接,官网链接,Folo文件夹路径,source_layer,platform,acquisition_mode,broad_category,decision_scope,push_frequency,risk_policy,paywall_policy,建议动作,备注
HelloGithub - 精选开源项目,已在Folo源池,rsshub://hellogithub/home,https://hellogithub.com/?sort_by=featured,AI科技开源,B_observe,GitHub,official_api,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,保留并按源池健康检查结果治理,由现有 Folo 源池自动画像生成
OpenAI News,已在Folo源池,https://openai.com/news/rss.xml,https://openai.com/news,AI科技开源,B_observe,Folo/RSS,rss,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,保留并按源池健康检查结果治理,由现有 Folo 源池自动画像生成
数据库内核月报,已在Folo源池,rsshub://aliyun/database_month,http://mysql.taobao.org/monthly/,AI科技开源,B_observe,RSSHub,rsshub,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,保留并按源池健康检查结果治理,由现有 Folo 源池自动画像生成
开源中国-全部,已在Folo源池,rsshub://oschina/news,https://www.oschina.net/?type=0,AI科技开源,B_observe,RSSHub,rsshub,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,保留并按源池健康检查结果治理,由现有 Folo 源池自动画像生成
技术爬爬虾 的 bilibili 空间,已在Folo源池,rsshub://bilibili/user/video/316183842,https://space.bilibili.com/316183842,AI科技开源,B_observe,B站,rsshub,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,保留并按源池健康检查结果治理,由现有 Folo 源池自动画像生成
Twitter @OpenAI,已在Folo源池,rsshub://twitter/user/OpenAI,https://x.com/OpenAI,AI科技开源,B_observe,RSSHub,rsshub,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,保留并按源池健康检查结果治理,由现有 Folo 源池自动画像生成
少数派 - 派早报,已在Folo源池,https://feeds.feedburner.com/sspai/paizaobao,https://sspai.com/tag/%E6%B4%BE%E6%97%A9%E6%8A%A5,AI科技开源,B_observe,Folo/RSS,rss,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,保留并按源池健康检查结果治理,由现有 Folo 源池自动画像生成
小众软件,已在Folo源池,http://feeds-origin.appinn.com/appinns,https://www.appinn.com/,AI科技开源,B_observe,Folo/RSS,rss,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,保留并按源池健康检查结果治理,由现有 Folo 源池自动画像生成
ByteByteGo Newsletter,已在Folo源池,https://blog.bytebytego.com/feed,https://blog.bytebytego.com/,AI科技开源,B_observe,Folo/RSS,rss,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,保留并按源池健康检查结果治理,由现有 Folo 源池自动画像生成
阮一峰的网络日志,已在Folo源池,http://www.ruanyifeng.com/blog/atom.xml,http://www.ruanyifeng.com/blog/,AI科技开源,B_observe,Folo/RSS,rss,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,保留并按源池健康检查结果治理,由现有 Folo 源池自动画像生成
